,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
0,18-30,Male,Above high school,1-2yr,No defect,Residential areas,No junction,2,na,Moving Backward,Slight Injury
1,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,na,Overtaking,Slight Injury
2,18-30,Male,Junior high school,1-2yr,No defect,  Recreational areas,No junction,2,Male,Changing lane to the left,Serious Injury
3,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,2,Female,Changing lane to the right,Slight Injury
4,18-30,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,2,na,Overtaking,Slight Injury
5,31-50,Male,,,,,Y Shape,1,Male,Overloading,Slight Injury
6,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,1,Female,Other,Slight Injury
7,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,1,na,No priority to vehicle,Slight Injury
8,18-30,Male,Junior high school,Above 10yr,No defect, Industrial areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
9,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,Y Shape,1,Male,Moving Backward,Serious Injury
10,18-30,Male,Above high school,1-2yr,No defect,Residential areas,No junction,1,na,Changing lane to the left,Serious Injury
11,31-50,Male,Above high school,No Licence,No defect,Office areas,No junction,1,Male,No priority to pedestrian,Serious Injury
12,18-30,Male,Junior high school,1-2yr,No defect,Office areas,No junction,2,na,No distancing,Slight Injury
13,31-50,Male,Junior high school,5-10yr,No defect,Office areas,No junction,2,na,No priority to vehicle,Slight Injury
14,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,Female,No distancing,Serious Injury
15,18-30,Female,Junior high school,Above 10yr,No defect,Office areas,Y Shape,3,na,No distancing,Serious Injury
16,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,3,na,Moving Backward,Slight Injury
17,18-30,Male,Elementary school,2-5yr,No defect,Office areas,Y Shape,3,na,Changing lane to the right,Serious Injury
18,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,3,na,No priority to pedestrian,Slight Injury
19,18-30,Male,Junior high school,Below 1yr,No defect,Residential areas,Y Shape,1,Male,Moving Backward,Serious Injury
20,Under 18,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
21,18-30,Male,Junior high school,2-5yr,No defect, Church areas,Crossing,1,Male,Overtaking,Serious Injury
22,18-30,Male,Elementary school,5-10yr,No defect,  Recreational areas,Y Shape,1,Female,Overloading,Serious Injury
23,31-50,Male,Junior high school,Above 10yr,, Industrial areas,Y Shape,1,Male,Changing lane to the right,Serious Injury
24,18-30,Male,,,,Residential areas,Crossing,3,na,Improper parking,Slight Injury
25,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,3,Female,Other,Slight Injury
26,18-30,Unknown,Junior high school,5-10yr,No defect,Office areas,Crossing,3,Male,Changing lane to the left,Slight Injury
27,18-30,Male,Above high school,2-5yr,No defect,  Market areas,No junction,1,na,Changing lane to the right,Slight Injury
28,Over 51,Unknown,,,,Unknown,No junction,1,Male,No priority to pedestrian,Slight Injury
29,18-30,Male,,1-2yr,No defect, Industrial areas,No junction,1,Male,Overspeed,Slight Injury
30,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,1,na,Changing lane to the left,Slight Injury
31,18-30,Male,Junior high school,Above 10yr,No defect,Residential areas,No junction,1,Male,No priority to vehicle,Slight Injury
32,18-30,Male,Junior high school,Below 1yr,No defect,Other,No junction,1,Female,Changing lane to the right,Slight Injury
33,31-50,Unknown,Junior high school,2-5yr,No defect,Residential areas,No junction,1,na,No distancing,Slight Injury
34,Over 51,Male,Junior high school,Below 1yr,No defect,Rural village areas,O Shape,1,Female,No priority to pedestrian,Slight Injury
